entry_time,exit_time,entry_price,exit_price,strategy,direction,right,long_strike,short_strike,lots,lot_size,long_entry_premium,long_exit_premium,short_entry_premium,short_exit_premium,gross_pnl,slippage_cost,fees,net_pnl,total_capital,exit_reason,expiry,orrr_at_entry,route_reason
2024-01-08 12:35:00,2024-01-08 14:30:00,21607.5,21528.3,vertical_spread,uptrend,CE,21550,21800.0,5,50,138.8,111.14150000000001,33.7,26.88375,-5037.5,388.69,107.22,-5533.4,9994466.6,stop_loss,2024-01-11,2.140179502320047,spread
2024-01-25 09:15:00,2024-01-25 15:20:00,21411.2,21378.2,naked_long,downtrend,PE,21450,,5,50,73.6,108.20625,,,8787.5,227.94,55.94,8503.62,10002970.22,expiry_square_off,2024-01-25,5.59095718365095,naked_long
2024-01-31 09:30:00,2024-02-01 11:00:00,21547.55,21811.0,vertical_spread,uptrend,CE,21450,21850.0,5,50,216.55,296.16175,43.95,80.34975,11275.0,797.62,135.81,10341.56,10013311.78,take_profit,2024-02-01,1.9676817948011414,spread
2024-03-14 12:45:00,2024-03-14 15:20:00,22131.05,22148.95,naked_long,downtrend,PE,22150,,5,50,27.55,3.7809999999999997,,,-5937.5,39.19,42.75,-6019.44,10007292.34,expiry_square_off,2024-03-14,15.016923454500468,naked_long
2024-03-15 09:15:00,2024-03-19 09:55:00,22090.45,21905.75,vertical_spread,downtrend,PE,22200,21900.0,5,50,190.1,223.875,72.0,75.375,7975.0,702.63,129.17,7143.21,10014435.55,take_profit,2024-03-21,1.5380021163287576,spread
2024-03-20 13:35:00,2024-03-21 10:05:00,21886.9,22036.3,vertical_spread,downtrend,PE,21950,21700.0,5,50,114.55,127.36,21.5,23.115,2987.5,358.81,105.11,2523.58,10016959.13,stop_loss,2024-03-21,1.5047480862781175,spread
2024-03-21 11:20:00,2024-03-21 15:20:00,22060.3,22027.8,naked_long,downtrend,PE,22100,,5,50,63.1,87.70925000000001,,,6262.5,189.06,53.22,6020.21,10022979.34,expiry_square_off,2024-03-21,11.808580311197916,naked_long
2024-04-23 10:30:00,2024-04-25 13:45:00,22399.75,22511.1,naked_long,downtrend,PE,22450,,5,50,127.7,139.3,,,3075.0,334.62,63.42,2676.96,10025656.3,stop_loss,2024-04-25,12.084270259788354,naked_long
2024-06-05 15:20:00,2024-06-06 09:15:00,22580.3,22693.35,vertical_spread,downtrend,PE,22700,22100.0,5,50,273.5,268.99825000000004,37.45,0.0,8575.0,726.62,130.85,7717.53,10033373.83,stop_loss,2024-06-06,16.395023514369957,spread
2024-07-19 12:05:00,2024-07-19 12:35:00,24658.45,24612.1,vertical_spread,uptrend,CE,24500,24850.0,5,50,317.8,291.48525,143.05,129.19275000000002,-2587.5,1102.94,157.21,-3847.65,10029526.18,stop_loss,2024-07-25,3.946079380236198,spread
2024-08-06 10:10:00,2024-08-08 15:20:00,24282.85,24083.35,naked_long,downtrend,PE,24350,,5,50,165.5,335.0165,,,42800.0,627.75,83.87,42088.38,10071614.56,expiry_square_off,2024-08-08,2.3175508168853103,naked_long
2024-10-18 14:40:00,2024-10-21 09:15:00,24862.45,24951.0,naked_long,downtrend,PE,24950,,5,50,154.8,149.20024999999998,,,-1212.5,380.94,66.67,-1660.11,10069954.45,stop_loss,2024-10-24,4.938848936909642,naked_long
2024-10-31 09:50:00,2024-10-31 12:20:00,24289.85,24225.55,naked_long,uptrend,CE,24250,,5,50,73.0,10.546999999999999,,,-15600.0,104.5,47.34,-15751.84,10054202.61,stop_loss,2024-10-31,5.738150530088487,naked_long
2024-11-08 09:30:00,2024-11-12 13:15:00,24186.35,23951.3,vertical_spread,uptrend,CE,24050,24550.0,5,50,261.55,191.04,46.6,0.0,-5737.5,625.19,123.77,-6486.46,10047716.15,stop_loss,2024-11-14,1.6626430351586312,spread
2024-12-17 10:45:00,2024-12-17 13:25:00,24461.9,24353.15,naked_long,uptrend,CE,24350,,5,50,219.0,146.265,,,-18000.0,457.5,72.06,-18529.56,10029186.59,stop_loss,2024-12-19,4.176402538146746,naked_long
